##,Word,Source,StopWord?
1,&,mapping,Yes
2,a,Terrier package stop word,Yes
3,abaft,Terrier package stop word,Yes
4,abafter,Terrier package stop word,Yes
5,abaftest,Terrier package stop word,Yes
6,abouter,Terrier package stop word,Yes
7,aboutest,Terrier package stop word,Yes
8,abover,Terrier package stop word,Yes
9,abovest,Terrier package stop word,Yes
10,according,amarallab,Yes
11,across,amarallab,Yes
12,actually,amarallab,Yes
13,adopted,mapping,Yes
14,aer,Terrier package stop word,Yes
15,aest,Terrier package stop word,Yes
16,afore,Terrier package stop word,Yes
17,afterer,Terrier package stop word,Yes
18,afterest,Terrier package stop word,Yes
19,afterward,Terrier package stop word,Yes
20,again,PubMed,Yes
21,aid,Terrier package stop word,Yes
22,ain,Terrier package stop word,Yes
23,albeit,Terrier package stop word,Yes
24,all,PubMed,Yes
25,aller,Terrier package stop word,Yes
26,allest,Terrier package stop word,Yes
27,allows,amarallab,Yes
28,alls,Terrier package stop word,Yes
29,allyou,Terrier package stop word,Yes
30,almost,PubMed,Yes
31,alone,amarallab,Yes
32,alongside,Terrier package stop word,Yes
33,also,PubMed,Yes
34,although,PubMed,Yes
35,always,PubMed,Yes
36,am,snowball stemmer stop word,Yes
37,amid,Terrier package stop word,Yes
38,amidst,Terrier package stop word,Yes
39,among,PubMed,Yes
40,an,PubMed,Yes
41,Anatomic Site,caDSR rep terms,Yes
42,and,PubMed,Yes
43,and/or,literature,Yes
44,andor,Terrier package stop word,Yes
45,anear,Terrier package stop word,Yes
46,anent,Terrier package stop word,Yes
47,another,PubMed,Yes
48,any,PubMed,Yes
49,anyway,amarallab,Yes
50,anyways,amarallab,Yes
51,aparter,Terrier package stop word,Yes
52,apartest,Terrier package stop word,Yes
53,apparatus,Stopwords in technical language processing,Yes
54,appeared,Terrier package stop word,Yes
55,appearing,Terrier package stop word,Yes
56,appears,Terrier package stop word,Yes
57,apply,mapping,Yes
58,appreciate,amarallab,Yes
59,appropriated,Terrier package stop word,Yes
60,appropriater,Terrier package stop word,Yes
61,appropriates,Terrier package stop word,Yes
62,appropriatest,Terrier package stop word,Yes
63,appropriating,Terrier package stop word,Yes
64,are,PubMed,Yes
65,are,snowball stemmer stop word,Yes
66,aren,amarallab,Yes
67,ares,Terrier package stop word,Yes
68,as,PubMed,Yes
69,as a,mapping,Yes
70,ases,Terrier package stop word,Yes
71,asides,Terrier package stop word,Yes
72,ask,amarallab,Yes
73,asking,amarallab,Yes
74,aslant,Terrier package stop word,Yes
75,associated,amarallab,Yes
76,astraddle,Terrier package stop word,Yes
